R10,159.91,21.63,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,114.45,51.45,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,89.96,62.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,106.96,37.15,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,62.29,11.01,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,141.53,9.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,83.09,51.39,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,149.37,50.68,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,140.53,48.52,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,119.45,44.56,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,59.10,12.87,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,65.75,15.63,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,160.49,27.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,160.41,30.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,160.33,33.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,160.25,36.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,160.17,24.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,107.45,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,45.53,106.63,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,84.85,66.04,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.96,106.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,81.06,36.63,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.61,106.25,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,146.25,15.41,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,58.96,10.79,0.00,,SJ
TP1,75.41,77.79,0.00,TPTP20R,TP20R
TP10,131.66,21.71,0.00,TPTP20R,TP20R
TP11,80.49,77.79,0.00,TPTP20R,TP20R
TP12,16.31,72.71,0.00,TPTP20R,TP20R
